Study,Plot,TRT,GT,Wh,Pop,Rep,RXA,SXA,CXA,CSR,CF,CCS,Num,Dens,Perim,Pmdiff,AA,AAP,MXN,MXA,MXP,MXM,MXL,MXW,Lwmax,Lwrat,ECC,JSM,J_max,J_med,CDM,CD24med,AvgCDiam,MaxCD,HYP,OUT,CD35avg,INN
PA16,125,HN,14,4,Hybrid,F1,6.025300305,2.263158281,3.762142025,1.662341541,15,1973.594125,2978.273021,791.6428996,8.4926097,19.03797541,0.12442437,3.307274674,24,0.287390671,12.6986554,12527.44991,134.50865,119.15615,174.9528,1.158204217,0.50448315,0.000000161,1.49E-08,6.40E-09,40.10425,19.991,88.34585,58.3314,35.1861,20.0726,22.94111667,36.42295
PA16,126,HN,35,4,Hybrid,F1,7.319644457,2.959094381,4.360550076,1.473609664,16,1891.598113,5504.845166,1262.419894,9.4112698,21.34481673,0.022180278,0.508657791,31,0.243276155,8.221304348,8044.841423,112.1857,93.2559,143.4674,1.171493054,0.520910093,8.07E-08,7.49E-09,2.55E-09,31.758,18.9116,89.8524,60.6201,24.60515,17.27685,24.426,34.35005
PA16,127,HN,19,4,Hybrid,F1,6.788453994,2.099435128,4.689018866,2.2334669,17.5,2341.5679,4212.126036,898.2958175,9.1306337,15.92923451,0,0,20,0.235200198,11.20302289,12184.53235,126.05545,125.94775,142.2753,1.067104007,0.34900629,0.000000121,9.29E-09,6.16E-09,37.6483,21.23095,101.785,62.6558,31.07575,18.7662,27.84428333,48.70125
PA16,128,HN,7,4,Hybrid,F1,9.875240189,4.480444984,5.394795206,1.204075762,18,2295.467275,5920.697095,1097.483198,11.0403493,25.42219457,0.03292202,0.610255239,34,0.238239817,5.317324909,7086.088167,92.62885,98.8634,121.176,1.095780374,0.408812989,7.32E-08,4.35E-09,2.07E-09,34.0609,16.61055,76.45165,53.7673,22.4229,15.08015,20.72226667,41.22795
PA16,129,HN,8,4,Hybrid,F1,6.069947705,2.143080788,3.926866917,1.832346656,17,1545.991838,4214.127838,1073.152701,8.5587868,17.92406944,0.134738671,3.43120034,27,0.193599852,9.033716942,7157.925612,98.4254,95.4844,145.7957,1.061303659,0.334945791,6.16E-08,5.49E-09,2.12E-09,34.44485,16.44905,84.8554,50.8627,27.6641,14.78905,23.6356,32.72045
PA16,130,HN,13,4,Hybrid,F1,6.619830999,2.381260344,4.238570655,1.779969446,18.5,2006.528375,4815.790844,1136.182745,9.0350065,19.22328709,0.020556668,0.484990561,24,0.290175426,12.18579174,12103.28679,133.7369,111.3038,NA,1.210882601,0.563558281,0.000000145,1.61E-08,5.58E-09,33.4758,19.91145,80.61815,54.3582,26.4588,13.794,22.56638333,31.60275
PA16,131,HN,23,4,Hybrid,F1,7.79698291,2.701630213,5.095352697,1.886028915,16.5,2071.01415,3460.418594,679.1322994,9.6862087,17.38893227,0.592903667,11.63616538,29,0.275472407,10.19652527,9712.458933,118.5386,107.8222,133.4882,1.119551642,0.449630375,0.000000112,5.79E-09,3.89E-09,43.299,18.7786,87.21065,55.2056,26.7488,18.08095,23.33261667,38.71065
PA16,132,HN,44,4,Hybrid,F1,2.115876487,0.6871938,1.428682687,2.07900986,11,1629.7556,1338.166725,936.6437611,5.0656087,16.3547692,0.00744375,0.521021901,19,0.139538467,20.30554805,7622.520544,113.7519,84.7581,125.3243,1.291538522,0.632854964,4.11E-08,3.85E-09,2.26E-09,36.86955,32.90045,130.803,50.5513,40.34045,27.62795,34.62681667,29.44935
PA16,133,HN,2,4,Hybrid,F1,5.041526309,1.70701621,3.334510099,1.953414431,17.5,1426.2676,4800.694143,1439.699986,7.751246,16.48789507,0.007786319,0.23350712,22,0.163446694,9.574993677,8016.621795,108.3309,95.4364,125.3128,1.146390476,0.487809957,5.23E-08,4.29E-09,2.57E-09,29.7385,15.65415,63.5606,54.902,23.06315,14.4746,16.57295,32.06235
PA16,135,HN,36,4,Hybrid,F1,10.15551295,4.01776578,6.137747173,1.527651812,17,2598.367075,4728.672702,770.4248104,11.2555802,21.97360488,0.007478589,0.121845835,30,0.313792077,7.810113722,11207.89283,125.40395,111.23785,144.8013,1.172303311,0.52187554,0.000000142,7.70E-09,4.85E-09,40.65275,19.7352,85.0036,63.4518,29.78995,19.23095,22.31961667,38.44835
PA16,136,HN,10,4,Hybrid,F1,5.862199202,1.568382183,4.293817018,2.737736416,16.5,2511.125863,3547.150459,826.1065723,8.2836585,11.32432316,0.013769771,0.320688358,20,0.192167069,12.25256643,10137.89448,119.03825,106.6004,133.1009,1.127067158,0.46107561,0.000000079,6.26E-09,4.24E-09,39.2588,23.95375,110.13595,69.5976,29.07145,21.5013,29.90046667,35.0094
PA16,137,HN,11,4,Hybrid,F1,6.823164119,1.868999226,4.954164893,2.650704626,15,3038.616475,2580.628022,520.9007123,8.9789325,12.12497653,0.432979977,8.739716718,19,0.256077196,13.70130029,14171.799,143.4673,124.9504,173.3897,1.177199294,0.527630744,0.000000145,1.29E-08,8.08E-09,49.4399,32.4322,140.691,70.5926,43.3903,30.001,37.41203333,47.79155
PA16,139,HN,42,4,Hybrid,F1,4.099949478,1.272609497,2.827339981,2.221687005,15,1691.206538,3266.116019,1155.190406,7.0555944,15.5187478,0.047031493,1.663453734,17,0.156535984,12.30039415,9262.604735,113.2843,105.6459,140.1372,1.082023565,0.381922656,6.25E-08,8.06E-09,3.54E-09,33.19925,21.60275,98.2885,58.6398,28.04535,20.79475,26.06005,30.24985
PA16,140,HN,34,4,Hybrid,F1,4.19467219,0.961401152,3.233271038,3.363082134,19,1449.884875,3898.022195,1205.597102,7.1129964,10.38650837,0,0,12,0.105747865,10.99934865,10179.66835,117.75105,111.98385,132.284,1.078271001,0.373979439,4.45E-08,5.98E-09,4.20E-09,32.4978,20.7572,81.4865,48.2195,22.81835,18.6317,21.13525,27.8022
