 ******* Program HYDRUS
 ******* 
 Root water uptake in a soil profile                                     
 Date:   7.10.2021    Time:  16:18: 9
 Units: L = cm   , T = days , M = mmol 



                               Node(  1)                      Node(  9)

         time            h        theta    Flux           h        theta    Flux  
         20.1941   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.865E-03
         20.2588   -10000.00  0.2782 -0.107E+00     -12391.40  0.2742  0.981E-03
         20.3235   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.894E-03
         20.3881   -10000.00  0.2782 -0.110E+00     -12470.12  0.2740  0.101E-02
         20.4528   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.872E-03
         20.5175   -10000.00  0.2782 -0.108E+00     -12411.91  0.2741  0.988E-03
         20.5822   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.899E-03
         20.6469   -10000.00  0.2782 -0.111E+00     -12486.77  0.2740  0.101E-02
         20.7116   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.877E-03
         20.7763   -10000.00  0.2782 -0.108E+00     -12424.85  0.2741  0.992E-03
         20.8410   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.903E-03
         20.9057   -10000.00  0.2782 -0.111E+00     -12497.69  0.2740  0.102E-02
         20.9704   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.880E-03
         21.0351   -10000.00  0.2782 -0.109E+00     -12433.65  0.2741  0.995E-03
         21.0997   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.906E-03
         21.1644   -10000.00  0.2782 -0.112E+00     -12505.36  0.2740  0.102E-02
         21.2291   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.882E-03
         21.2938   -10000.00  0.2782 -0.109E+00     -12440.04  0.2741  0.997E-03
         21.3585   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.907E-03
         21.4227   -10000.00  0.2782 -0.112E+00     -12487.80  0.2740  0.101E-02
         21.4868   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.872E-03
         21.5510   -10000.00  0.2782 -0.108E+00     -12396.87  0.2742  0.982E-03
         21.6151   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.891E-03
         21.6793   -10000.00  0.2782 -0.110E+00     -12449.58  0.2741  0.100E-02
         21.7434   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.863E-03
         21.8076   -10000.00  0.2782 -0.107E+00     -12371.61  0.2742  0.974E-03
         21.8717   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.885E-03
         21.9359   -10000.00  0.2782 -0.110E+00     -12430.53  0.2741  0.994E-03
         22.0000   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.858E-03
         22.0647   -10000.00  0.2782 -0.107E+00     -12379.91  0.2742  0.977E-03
         22.1294   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.892E-03
         22.1941   -10000.00  0.2782 -0.110E+00     -12466.87  0.2741  0.101E-02
         22.2588   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.872E-03
         22.3235   -10000.00  0.2782 -0.108E+00     -12413.23  0.2741  0.988E-03
         22.3881   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.900E-03
         22.4528   -10000.00  0.2782 -0.111E+00     -12491.16  0.2740  0.101E-02
         22.5175   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.878E-03
         22.5822   -10000.00  0.2782 -0.109E+00     -12431.31  0.2741  0.994E-03
         22.6469   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.905E-03
         22.7116   -10000.00  0.2782 -0.112E+00     -12505.97  0.2740  0.102E-02
         22.7763   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.882E-03
         22.8410   -10000.00  0.2782 -0.109E+00     -12442.89  0.2741  0.998E-03
         22.9057   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.909E-03
         22.9704   -10000.00  0.2782 -0.112E+00     -12515.77  0.2740  0.102E-02
         23.0351   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.885E-03
         23.0997   -10000.00  0.2782 -0.109E+00     -12450.80  0.2741  0.100E-02
         23.1644   -10000.00  0.2782 -0.113E+00     -10000.00  0.2782 -0.911E-03
         23.2291   -10000.00  0.2782 -0.112E+00     -12522.62  0.2740  0.102E-02
         23.2938   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.887E-03
